"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","UNIT_NUM"
"2021093171","N","N","Y","Y","U","Y","1","Y","Y","00250","N","","","","","","","","N","1"
"2021032178","Y","Y","Y","N","N","N","0","Y","Y","01753","N","","","","","","","","N","2"
"2021057036","N","Y","U","Y","U","Y","1","Y","N","00250","N","","","","","","","","N","1"
"2021083323","","","","","","","","","","","","","","","","","","","","2"
"2021119742","N","N","N","Y","N","N","0","Y","Y","00900","N","","","","","","","","N","1"
"2021046874","N","N","N","N","N","N","0","Y","Y","00599","N","","","","","","","","N","1"
"2021110802","Y","Y","Y","Y","Y","Y","1","Y","Y","00650","N","","","","","","","","N","1"
"2021057268","U","U","U","U","U","U","9","U","U","00000","N","","","","","","","","N","2"
"2021055456","Y","N","U","Y","N","N","0","N","N","01584","N","","","","","","","","N","1"
"2021028346","Y","Y","Y","Y","N","N","0","Y","Y","01450","Y","Y","Y","Y","Y","3","Y","Y","N","1"
"2021109759","N","Y","N","N","N","N","0","Y","Y","01200","N","","","","","","","","N","1"
"2021041582","N","U","U","U","U","U","9","U","U","00000","N","","","","","","","","N","1"
"2021023959","Y","Y","Y","Y","N","N","0","Y","N","01634","N","","","","","","","","N","1"
"2021023959","Y","Y","Y","Y","N","N","0","Y","Y","01634","N","","","","","","","","N","2"
"2021067372","N","U","U","Y","U","Y","1","Y","Y","01100","N","","","","","","","","N","1"
"2021082281","Y","Y","Y","Y","N","N","0","Y","N","01690","N","","","","","","","","N","1"
"2021086832","N","Y","N","Y","N","N","0","Y","Y","01750","N","","","","","","","","N","2"
"2021057842","Y","U","U","U","N","N","0","Y","Y","00999","Y","U","U","N","N","0","U","U","N","1"
"2021123661","","","","","","","","","","","","","","","","","","","","2"
"2021075551","N","Y","U","N","Y","Y","1","Y","N","00883","N","","","","","","","","N","1"
"2021066175","N","U","U","U","U","Y","1","Y","U","01000","N","","","","","","","","N","1"
"2021070936","N","U","U","N","N","N","0","Y","Y","01300","N","","","","","","","","N","1"
"2021053580","N","U","U","U","U","U","9","U","U","00750","N","","","","","","","","N","2"
"2021044090","N","Y","Y","Y","N","Y","1","Y","Y","01690","N","","","","","","","","N","1"
"2021044090","N","Y","Y","Y","N","Y","1","Y","Y","01690","N","","","","","","","","N","2"
"2021045827","N","N","N","N","N","N","0","N","N","00900","N","","","","","","","","N","2"
"2021051591","N","U","U","N","U","N","0","Y","N","99999","N","","","","","","","","N","1"
"2021081785","Y","Y","U","Y","N","N","0","N","Y","01300","N","","","","","","","","N","2"
"2021092137","U","U","U","U","U","U","9","U","U","99999","U","","","","","","","","U","1"
"2021024561","U","N","N","N","N","U","0","Y","U","99999","N","","","","","","","","N","2"
"2021078538","Y","Y","U","Y","U","Y","2","Y","Y","01700","Y","Y","Y","U","Y","2","Y","Y","N","2"
"2021065964","Y","Y","Y","Y","N","N","0","Y","Y","01450","N","","","","","","","","N","1"
"2021045039","N","N","N","Y","U","Y","1","Y","N","00400","N","","","","","","","","N","1"
"2021040251","N","Y","Y","Y","N","Y","1","Y","Y","01299","N","","","","","","","","N","1"
"2021092998","Y","Y","U","U","Y","Y","1","Y","Y","01200","N","","","","","","","","N","1"
"2021088784","Y","Y","U","Y","Y","Y","1","Y","N","01000","Y","Y","Y","Y","Y","1","Y","Y","Y","1"
"2021104081","N","N","Y","N","Y","Y","1","Y","N","00583","N","","","","","","","","N","1"
"2021073349","N","N","N","Y","Y","Y","1","Y","N","00700","N","","","","","","","","N","2"
"2021046717","Y","Y","U","Y","U","Y","1","Y","N","01700","N","","","","","","","","N","1"
"2021025521","","","","","","","","","","","","","","","","","","","","1"
"2021080170","N","U","U","Y","N","N","0","Y","U","01688","N","","","","","","","","N","1"
"2021066118","Y","Y","Y","Y","N","N","0","Y","Y","00950","N","","","","","","","","N","1"
"2021081789","N","Y","Y","Y","Y","Y","1","N","Y","00950","N","","","","","","","","N","1"
"2021087075","N","Y","Y","N","N","N","0","Y","N","00600","N","","","","","","","","N","1"
"2021095597","N","N","N","N","N","N","0","N","N","01000","N","","","","","","","","N","1"
"2021045996","N","N","Y","Y","U","Y","1","Y","Y","01000","N","","","","","","","","N","2"
"2021050242","Y","Y","U","Y","N","N","0","Y","N","01690","N","","","","","","","","N","1"
"2021050242","Y","Y","U","Y","N","N","0","Y","Y","01449","N","","","","","","","","N","2"
"2021027022","","","","","","","","","","","","","","","","","","","","1"
"2021094320","Y","U","U","Y","U","Y","2","Y","Y","00249","N","","","","","","","","N","2"
"2021044748","N","U","U","U","U","U","9","Y","N","00250","N","","","","","","","","N","1"
"2021038948","N","U","U","Y","U","Y","1","Y","Y","00150","N","","","","","","","","N","2"
"2021100097","N","Y","U","U","N","N","0","Y","Y","01200","N","","","","","","","","N","1"
"2021064977","Y","U","U","Y","Y","Y","1","Y","Y","01200","N","","","","","","","","N","2"
"2021041999","N","Y","Y","Y","Y","Y","1","Y","Y","00700","N","","","","","","","","N","1"
"2021051424","N","U","N","U","","","0","U","U","00196","N","","","","","","","","N","1"
"2021081553","","","","","","","","","","","","","","","","","","","","1"
"2021101199","Y","Y","U","Y","N","N","0","Y","Y","01598","N","","","","","","","","N","1"
"2021086469","N","U","U","U","U","U","3","Y","U","01250","N","","","","","","","","N","1"
"2021103440","Y","Y","U","Y","Y","Y","1","Y","Y","01000","N","","","","","","","","N","2"
"2021072849","Y","Y","Y","Y","Y","Y","3","Y","N","00750","N","","","","","","","","N","1"
"2021039739","N","U","U","N","N","N","0","Y","Y","00049","N","","","","","","","","N","1"
